GENESIS-Tabelle: 12621-0002
Durchschnittliche Lebenserwartung (Periodensterbetafel):;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche Lebenserwartung [e(x)] (Jahre);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991/93;1992/94;1993/95;1994/96;1995/97;1996/98;1997/99;1998/00;1999/01;2000/02;2001/03;2002/04;2003/05;2004/06;2005/07;2006/08;2007/09;2008/10;2009/11;2010/12;2011/13;2012/14;2013/15;2014/16;2015/17;2016/18
weiblich;8 Jahre;71,58;71,83;72,00;72,21;72,45;72,72;73,01;73,24;73,48;73,63;73,75;73,95;74,17;74,45;74,61;74,75;74,87;74,93;75,06;75,13;75,20;75,36;75,37;75,52;75,50;75,58
weiblich;9 Jahre;70,59;70,84;71,01;71,22;71,46;71,72;72,01;72,25;72,48;72,63;72,75;72,96;73,17;73,46;73,62;73,75;73,87;73,93;74,06;74,14;74,21;74,37;74,38;74,52;74,51;74,59
weiblich;10 Jahre;69,60;69,85;70,02;70,23;70,46;70,73;71,02;71,25;71,49;71,64;71,76;71,96;72,18;72,46;72,62;72,76;72,88;72,94;73,07;73,14;73,21;73,37;73,38;73,53;73,51;73,59
weiblich;11 Jahre;68,61;68,86;69,03;69,24;69,47;69,74;70,03;70,26;70,50;70,65;70,77;70,97;71,18;71,47;71,63;71,76;71,88;71,94;72,08;72,15;72,22;72,38;72,38;72,53;72,52;72,59
weiblich;12 Jahre;67,62;67,87;68,04;68,24;68,48;68,74;69,03;69,27;69,51;69,65;69,77;69,97;70,19;70,47;70,64;70,77;70,89;70,95;71,08;71,15;71,22;71,38;71,39;71,54;71,52;71,60
weiblich;13 Jahre;66,63;66,88;67,04;67,25;67,49;67,75;68,04;68,27;68,51;68,66;68,78;68,98;69,20;69,48;69,64;69,78;69,89;69,95;70,09;70,16;70,23;70,38;70,40;70,54;70,53;70,61
weiblich;14 Jahre;65,63;65,89;66,05;66,26;66,49;66,76;67,05;67,28;67,52;67,67;67,79;67,99;68,20;68,49;68,65;68,78;68,90;68,96;69,09;69,16;69,23;69,39;69,40;69,55;69,54;69,61
weiblich;15 Jahre;64,65;64,90;65,06;65,27;65,50;65,77;66,06;66,29;66,53;66,68;66,80;66,99;67,21;67,49;67,66;67,79;67,91;67,97;68,10;68,17;68,24;68,40;68,41;68,56;68,54;68,62
weiblich;16 Jahre;63,66;63,91;64,08;64,29;64,52;64,78;65,07;65,30;65,54;65,69;65,81;66,01;66,22;66,50;66,67;66,80;66,92;66,98;67,11;67,18;67,25;67,40;67,42;67,56;67,55;67,63
weiblich;17 Jahre;62,68;62,93;63,10;63,30;63,53;63,80;64,09;64,32;64,56;64,70;64,82;65,02;65,24;65,52;65,68;65,81;65,93;65,99;66,12;66,19;66,26;66,41;66,43;66,57;66,56;66,64
weiblich;18 Jahre;61,69;61,95;62,12;62,32;62,55;62,81;63,11;63,34;63,57;63,72;63,84;64,03;64,25;64,53;64,69;64,82;64,94;65,00;65,13;65,20;65,27;65,42;65,44;65,58;65,57;65,65
weiblich;19 Jahre;60,72;60,98;61,14;61,35;61,58;61,84;62,13;62,36;62,60;62,74;62,85;63,05;63,27;63,54;63,71;63,84;63,95;64,01;64,14;64,21;64,28;64,44;64,45;64,60;64,58;64,66
weiblich;20 Jahre;59,75;60,00;60,16;60,37;60,60;60,86;61,15;61,38;61,62;61,76;61,87;62,07;62,28;62,56;62,72;62,85;62,97;63,03;63,16;63,22;63,29;63,45;63,46;63,61;63,60;63,67
weiblich;21 Jahre;58,77;59,02;59,19;59,39;59,62;59,88;60,17;60,40;60,64;60,78;60,89;61,09;61,30;61,58;61,73;61,86;61,98;62,04;62,17;62,24;62,30;62,46;62,48;62,62;62,61;62,68
weiblich;22 Jahre;57,79;58,04;58,21;58,41;58,64;58,90;59,19;59,42;59,66;59,80;59,91;60,10;60,31;60,59;60,75;60,88;60,99;61,05;61,18;61,25;61,32;61,47;61,49;61,63;61,62;61,69
weiblich;23 Jahre;56,81;57,06;57,23;57,43;57,66;57,92;58,21;58,44;58,67;58,82;58,93;59,12;59,33;59,60;59,76;59,89;60,01;60,07;60,20;60,26;60,33;60,48;60,50;60,64;60,63;60,70
weiblich;24 Jahre;55,83;56,08;56,24;56,45;56,68;56,94;57,22;57,46;57,69;57,83;57,94;58,13;58,34;58,62;58,78;58,91;59,02;59,08;59,21;59,28;59,34;59,50;59,51;59,65;59,64;59,71
weiblich;25 Jahre;54,85;55,10;55,26;55,47;55,70;55,95;56,24;56,47;56,71;56,85;56,96;57,15;57,36;57,63;57,79;57,92;58,03;58,09;58,22;58,29;58,35;58,51;58,52;58,66;58,65;58,72
weiblich;26 Jahre;53,87;54,12;54,28;54,49;54,72;54,97;55,26;55,49;55,72;55,86;55,97;56,16;56,37;56,65;56,80;56,93;57,05;57,11;57,24;57,30;57,37;57,52;57,53;57,68;57,66;57,73
weiblich;27 Jahre;52,89;53,14;53,30;53,51;53,73;53,99;54,28;54,51;54,74;54,88;54,99;55,18;55,39;55,66;55,82;55,94;56,06;56,12;56,25;56,32;56,38;56,53;56,54;56,69;56,67;56,75
weiblich;28 Jahre;51,91;52,16;52,32;52,53;52,75;53,01;53,29;53,53;53,76;53,90;54,00;54,20;54,40;54,67;54,83;54,96;55,08;55,14;55,26;55,33;55,39;55,54;55,56;55,70;55,69;55,76
weiblich;29 Jahre;50,94;51,18;51,34;51,55;51,77;52,03;52,31;52,54;52,78;52,91;53,02;53,21;53,42;53,69;53,84;53,97;54,09;54,15;54,28;54,34;54,41;54,56;54,57;54,71;54,70;54,77
weiblich;30 Jahre;49,96;50,21;50,36;50,57;50,79;51,05;51,33;51,56;51,79;51,93;52,04;52,23;52,43;52,70;52,86;52,99;53,11;53,16;53,29;53,36;53,42;53,57;53,59;53,73;53,71;53,78
weiblich;31 Jahre;48,99;49,23;49,39;49,59;49,82;50,07;50,35;50,58;50,81;50,95;51,05;51,24;51,45;51,72;51,87;52,00;52,12;52,18;52,31;52,37;52,44;52,59;52,60;52,74;52,73;52,80
weiblich;32 Jahre;48,01;48,26;48,41;48,62;48,84;49,09;49,37;49,60;49,83;49,97;50,07;50,26;50,47;50,74;50,89;51,02;51,14;51,20;51,32;51,39;51,45;51,60;51,62;51,76;51,75;51,82
weiblich;33 Jahre;47,04;47,28;47,44;47,64;47,86;48,11;48,39;48,62;48,85;48,99;49,09;49,28;49,48;49,75;49,91;50,04;50,15;50,21;50,34;50,41;50,47;50,62;50,63;50,78;50,77;50,84
weiblich;34 Jahre;46,07;46,32;46,47;46,67;46,89;47,14;47,42;47,65;47,87;48,01;48,11;48,30;48,50;48,77;48,93;49,05;49,17;49,23;49,36;49,42;49,49;49,64;49,65;49,80;49,78;49,85
weiblich;35 Jahre;45,11;45,35;45,51;45,70;45,92;46,17;46,44;46,67;46,90;47,03;47,13;47,32;47,52;47,79;47,95;48,07;48,19;48,25;48,38;48,44;48,51;48,66;48,67;48,81;48,80;48,87
weiblich;36 Jahre;44,14;44,38;44,54;44,74;44,95;45,20;45,47;45,70;45,93;46,06;46,16;46,35;46,55;46,82;46,97;47,10;47,21;47,27;47,40;47,47;47,53;47,68;47,69;47,83;47,82;47,89
weiblich;37 Jahre;43,18;43,42;43,57;43,77;43,99;44,23;44,51;44,73;44,95;45,09;45,19;45,37;45,57;45,84;45,99;46,12;46,23;46,29;46,42;46,49;46,55;46,70;46,72;46,86;46,85;46,92
weiblich;38 Jahre;42,22;42,46;42,61;42,81;43,03;43,27;43,54;43,76;43,99;44,12;44,22;44,40;44,60;44,87;45,02;45,14;45,26;45,32;45,45;45,51;45,57;45,72;45,74;45,88;45,87;45,94
weiblich;39 Jahre;41,27;41,50;41,66;41,85;42,07;42,31;42,58;42,80;43,02;43,15;43,25;43,43;43,63;43,89;44,04;44,17;44,28;44,34;44,47;44,54;44,60;44,75;44,76;44,90;44,89;44,96
weiblich;40 Jahre;40,31;40,55;40,70;40,89;41,11;41,35;41,62;41,84;42,06;42,19;42,28;42,46;42,66;42,92;43,08;43,20;43,32;43,37;43,50;43,57;43,63;43,77;43,79;43,93;43,92;43,99
weiblich;41 Jahre;39,36;39,60;39,75;39,94;40,16;40,39;40,66;40,88;41,10;41,23;41,32;41,50;41,70;41,96;42,11;42,23;42,35;42,40;42,53;42,60;42,66;42,80;42,82;42,96;42,95;43,02
weiblich;42 Jahre;38,42;38,65;38,80;39,00;39,21;39,44;39,71;39,93;40,15;40,27;40,37;40,54;40,74;41,00;41,15;41,27;41,38;41,44;41,57;41,63;41,69;41,84;41,85;41,99;41,98;42,05
weiblich;43 Jahre;37,48;37,71;37,86;38,05;38,27;38,50;38,76;38,98;39,20;39,32;39,41;39,59;39,78;40,04;40,19;40,31;40,42;40,47;40,60;40,66;40,73;40,87;40,89;41,03;41,01;41,09
weiblich;44 Jahre;36,54;36,77;36,92;37,11;37,32;37,56;37,82;38,03;38,25;38,37;38,47;38,64;38,83;39,09;39,23;39,35;39,46;39,52;39,64;39,70;39,77;39,91;39,92;40,06;40,05;40,12
weiblich;45 Jahre;35,60;35,84;35,99;36,18;36,39;36,62;36,88;37,09;37,31;37,43;37,52;37,69;37,88;38,13;38,28;38,40;38,51;38,56;38,69;38,75;38,81;38,95;38,96;39,10;39,09;39,16
weiblich;46 Jahre;34,67;34,91;35,06;35,24;35,46;35,68;35,95;36,16;36,37;36,49;36,58;36,75;36,94;37,19;37,34;37,45;37,56;37,61;37,74;37,79;37,85;37,99;38,01;38,15;38,13;38,21
weiblich;47 Jahre;33,75;33,98;34,13;34,31;34,53;34,75;35,01;35,23;35,44;35,56;35,65;35,81;36,00;36,25;36,40;36,51;36,61;36,66;36,79;36,85;36,90;37,04;37,06;37,19;37,18;37,25
weiblich;48 Jahre;32,83;33,06;33,20;33,39;33,60;33,83;34,09;34,30;34,51;34,63;34,72;34,88;35,07;35,32;35,46;35,57;35,68;35,73;35,85;35,90;35,96;36,10;36,11;36,25;36,23;36,30
weiblich;49 Jahre;31,91;32,14;32,29;32,47;32,68;32,91;33,17;33,37;33,59;33,71;33,79;33,96;34,14;34,39;34,53;34,64;34,74;34,79;34,91;34,97;35,02;35,16;35,17;35,30;35,29;35,36
weiblich;50 Jahre;31,00;31,23;31,37;31,56;31,77;31,99;32,25;32,45;32,67;32,79;32,87;33,04;33,22;33,47;33,60;33,71;33,81;33,86;33,98;34,04;34,09;34,22;34,23;34,37;34,35;34,42
weiblich;51 Jahre;30,09;30,32;30,46;30,65;30,86;31,08;31,33;31,54;31,75;31,87;31,95;32,12;32,30;32,55;32,68;32,79;32,89;32,94;33,06;33,11;33,16;33,29;33,30;33,43;33,42;33,48
weiblich;52 Jahre;29,18;29,41;29,56;29,74;29,95;30,17;30,42;30,63;30,84;30,96;31,04;31,21;31,39;31,63;31,76;31,87;31,97;32,02;32,13;32,19;32,24;32,37;32,37;32,51;32,49;32,55
weiblich;53 Jahre;28,28;28,51;28,66;28,85;29,05;29,27;29,52;29,72;29,94;30,05;30,14;30,30;30,48;30,72;30,85;30,96;31,06;31,11;31,22;31,28;31,32;31,45;31,45;31,59;31,56;31,63
weiblich;54 Jahre;27,38;27,61;27,76;27,94;28,15;28,37;28,62;28,82;29,04;29,15;29,23;29,40;29,57;29,81;29,95;30,05;30,15;30,20;30,31;30,37;30,41;30,54;30,54;30,67;30,65;30,71
weiblich;55 Jahre;26,49;26,72;26,87;27,05;27,26;27,47;27,72;27,92;28,14;28,26;28,34;28,50;28,67;28,91;29,04;29,15;29,25;29,29;29,41;29,46;29,51;29,63;29,64;29,76;29,74;29,80
weiblich;56 Jahre;25,61;25,83;25,98;26,16;26,37;26,58;26,83;27,03;27,25;27,36;27,44;27,60;27,78;28,01;28,15;28,25;28,35;28,40;28,51;28,57;28,61;28,73;28,73;28,86;28,83;28,89
weiblich;57 Jahre;24,73;24,95;25,09;25,27;25,48;25,69;25,94;26,14;26,36;26,47;26,56;26,71;26,89;27,12;27,26;27,36;27,46;27,50;27,62;27,67;27,72;27,84;27,84;27,96;27,94;27,99
weiblich;58 Jahre;23,86;24,07;24,21;24,39;24,60;24,81;25,06;25,26;25,48;25,59;25,67;25,83;26,00;26,24;26,37;26,47;26,57;26,61;26,73;26,78;26,83;26,95;26,95;27,07;27,05;27,10
weiblich;59 Jahre;23,00;23,21;23,35;23,52;23,72;23,93;24,18;24,38;24,60;24,72;24,79;24,95;25,12;25,36;25,49;25,59;25,69;25,73;25,84;25,90;25,94;26,06;26,06;26,19;26,16;26,22
weiblich;60 Jahre;22,14;22,35;22,49;22,66;22,85;23,06;23,30;23,50;23,72;23,84;23,92;24,08;24,25;24,49;24,61;24,71;24,81;24,85;24,96;25,03;25,07;25,19;25,19;25,32;25,28;25,34
weiblich;61 Jahre;21,30;21,50;21,64;21,80;22,00;22,20;22,44;22,64;22,85;22,97;23,04;23,21;23,38;23,62;23,74;23,84;23,94;23,98;24,10;24,15;24,20;24,32;24,32;24,45;24,42;24,47
weiblich;62 Jahre;20,46;20,67;20,80;20,96;21,15;21,35;21,58;21,78;21,99;22,10;22,18;22,34;22,52;22,75;22,88;22,98;23,08;23,12;23,23;23,29;23,33;23,45;23,46;23,58;23,56;23,61
weiblich;63 Jahre;19,64;19,84;19,97;20,13;20,31;20,50;20,73;20,92;21,13;21,24;21,32;21,47;21,65;21,89;22,02;22,12;22,22;22,26;22,38;22,43;22,47;22,59;22,60;22,73;22,70;22,75
weiblich;64 Jahre;18,82;19,02;19,15;19,30;19,48;19,67;19,89;20,08;20,28;20,39;20,46;20,62;20,80;21,03;21,17;21,27;21,37;21,41;21,53;21,58;21,63;21,74;21,74;21,87;21,85;21,90
weiblich;65 Jahre;18,02;18,21;18,33;18,49;18,66;18,85;19,06;19,25;19,44;19,55;19,61;19,77;19,94;20,18;20,31;20,41;20,52;20,56;20,68;20,74;20,79;20,90;20,90;21,03;21,00;21,06
weiblich;66 Jahre;17,22;17,41;17,53;17,68;17,86;18,03;18,25;18,42;18,62;18,72;18,78;18,92;19,10;19,33;19,46;19,57;19,67;19,72;19,84;19,90;19,95;20,06;20,07;20,20;20,17;20,23
weiblich;67 Jahre;16,43;16,62;16,74;16,89;17,06;17,23;17,44;17,61;17,80;17,90;17,95;18,09;18,26;18,49;18,62;18,72;18,83;18,89;19,01;19,07;19,12;19,23;19,24;19,37;19,34;19,40
weiblich;68 Jahre;15,66;15,84;15,96;16,11;16,27;16,44;16,64;16,81;17,00;17,09;17,14;17,27;17,43;17,66;17,79;17,89;18,00;18,05;18,18;18,25;18,29;18,41;18,42;18,55;18,53;18,58
weiblich;69 Jahre;14,90;15,08;15,19;15,34;15,50;15,67;15,86;16,03;16,21;16,29;16,34;16,47;16,62;16,84;16,96;17,06;17,17;17,23;17,35;17,42;17,48;17,59;17,61;17,74;17,72;17,78
weiblich;70 Jahre;14,15;14,33;14,44;14,58;14,74;14,90;15,09;15,25;15,43;15,51;15,55;15,67;15,82;16,03;16,15;16,25;16,36;16,41;16,53;16,61;16,66;16,78;16,80;16,94;16,91;16,98
weiblich;71 Jahre;13,42;13,59;13,70;13,84;14,00;14,15;14,34;14,49;14,66;14,74;14,77;14,89;15,04;15,24;15,35;15,44;15,55;15,60;15,72;15,80;15,86;15,98;16,00;16,14;16,12;16,19
weiblich;72 Jahre;12,72;12,88;12,97;13,11;13,26;13,42;13,60;13,75;13,91;13,98;14,02;14,13;14,27;14,46;14,57;14,65;14,75;14,80;14,92;14,99;15,06;15,18;15,21;15,35;15,34;15,41
weiblich;73 Jahre;12,03;12,19;12,27;12,40;12,55;12,70;12,88;13,02;13,18;13,24;13,27;13,38;13,51;13,70;13,80;13,88;13,98;14,01;14,13;14,20;14,26;14,39;14,42;14,57;14,56;14,63
weiblich;74 Jahre;11,36;11,51;11,60;11,71;11,86;12,00;12,17;12,31;12,46;12,52;12,54;12,65;12,77;12,95;13,05;13,12;13,22;13,25;13,36;13,43;13,48;13,61;13,64;13,79;13,79;13,87
weiblich;75 Jahre;10,69;10,86;10,94;11,06;11,19;11,32;11,48;11,61;11,75;11,81;11,83;11,93;12,05;12,22;12,31;12,38;12,47;12,49;12,60;12,67;12,72;12,84;12,87;13,02;13,03;13,11
weiblich;76 Jahre;10,05;10,20;10,30;10,42;10,55;10,66;10,81;10,93;11,07;11,12;11,14;11,24;11,34;11,51;11,59;11,66;11,74;11,77;11,87;11,92;11,97;12,08;12,12;12,26;12,27;12,36
weiblich;77 Jahre;9,43;9,57;9,66;9,79;9,91;10,03;10,16;10,28;10,41;10,45;10,46;10,56;10,66;10,82;10,89;10,95;11,03;11,05;11,15;11,20;11,25;11,35;11,38;11,53;11,53;11,62
weiblich;78 Jahre;8,83;8,97;9,05;9,17;9,30;9,41;9,55;9,64;9,77;9,80;9,81;9,89;9,99;10,15;10,21;10,27;10,34;10,36;10,45;10,50;10,54;10,64;10,66;10,80;10,81;10,89
weiblich;79 Jahre;8,27;8,40;8,47;8,57;8,70;8,82;8,95;9,05;9,15;9,18;9,18;9,26;9,34;9,49;9,56;9,61;9,68;9,70;9,78;9,83;9,86;9,95;9,97;10,10;10,10;10,18
weiblich;80 Jahre;7,72;7,84;7,92;8,02;8,12;8,23;8,37;8,47;8,57;8,58;8,57;8,64;8,72;8,87;8,92;8,97;9,04;9,06;9,13;9,17;9,20;9,29;9,30;9,43;9,42;9,50
weiblich;81 Jahre;7,19;7,31;7,39;7,48;7,59;7,68;7,80;7,91;8,01;8,02;7,99;8,06;8,13;8,27;8,32;8,36;8,43;8,44;8,51;8,55;8,57;8,65;8,66;8,78;8,77;8,84
weiblich;82 Jahre;6,70;6,81;6,88;6,98;7,08;7,17;7,27;7,36;7,48;7,48;7,46;7,50;7,57;7,69;7,74;7,78;7,84;7,85;7,91;7,95;7,96;8,04;8,04;8,16;8,15;8,21
weiblich;83 Jahre;6,24;6,34;6,40;6,49;6,59;6,67;6,77;6,84;6,94;6,96;6,94;6,99;7,03;7,14;7,19;7,22;7,28;7,28;7,34;7,37;7,39;7,46;7,46;7,57;7,56;7,61
weiblich;84 Jahre;5,80;5,89;5,95;6,03;6,13;6,21;6,30;6,38;6,45;6,45;6,45;6,49;6,54;6,63;6,67;6,69;6,76;6,75;6,80;6,83;6,84;6,91;6,90;7,01;6,99;7,04
weiblich;85 Jahre;5,39;5,47;5,52;5,60;5,69;5,77;5,87;5,93;6,00;5,97;5,96;6,01;6,06;6,16;6,17;6,19;6,26;6,25;6,29;6,31;6,32;6,39;6,38;6,48;6,45;6,49
weiblich;86 Jahre;5,01;5,08;5,12;5,20;5,28;5,36;5,45;5,52;5,58;5,54;5,50;5,53;5,61;5,71;5,73;5,72;5,79;5,78;5,81;5,83;5,83;5,89;5,88;5,98;5,95;5,98
weiblich;87 Jahre;4,65;4,72;4,76;4,83;4,90;4,97;5,05;5,12;5,19;5,13;5,09;5,10;5,16;5,28;5,30;5,30;5,36;5,34;5,37;5,37;5,38;5,43;5,42;5,51;5,48;5,51
weiblich;88 Jahre;4,32;4,39;4,42;4,49;4,56;4,62;4,69;4,76;4,82;4,76;4,70;4,71;4,74;4,85;4,89;4,90;4,99;4,94;4,96;4,95;4,95;5,01;4,99;5,07;5,04;5,06
weiblich;89 Jahre;4,01;4,07;4,10;4,18;4,24;4,29;4,37;4,43;4,48;4,40;4,35;4,35;4,38;4,46;4,49;4,53;4,63;4,60;4,58;4,57;4,56;4,61;4,59;4,67;4,63;4,65
weiblich;90 Jahre;3,71;3,77;3,80;3,89;3,95;4,00;4,07;4,13;4,18;4,07;4,01;4,02;4,04;4,11;4,13;4,15;4,30;4,27;4,25;4,21;4,21;4,25;4,22;4,30;4,26;4,27
weiblich;91 Jahre;-;-;-;-;-;-;-;-;-;3,77;3,71;3,71;3,74;3,79;3,81;3,80;3,96;3,96;3,94;3,89;3,88;3,92;3,89;3,96;3,92;3,92
weiblich;92 Jahre;-;-;-;-;-;-;-;-;-;3,51;3,45;3,45;3,48;3,52;3,52;3,51;3,69;3,68;3,68;3,60;3,61;3,62;3,58;3,65;3,61;3,61
weiblich;93 Jahre;-;-;-;-;-;-;-;-;-;3,27;3,21;3,21;3,24;3,27;3,29;3,26;3,43;3,42;3,43;3,33;3,35;3,38;3,31;3,38;3,34;3,33
weiblich;94 Jahre;-;-;-;-;-;-;-;-;-;3,05;3,00;2,99;3,02;3,05;3,07;3,06;3,20;3,19;3,19;3,09;3,12;3,14;3,10;3,14;3,09;3,08
weiblich;95 Jahre;-;-;-;-;-;-;-;-;-;2,85;2,80;2,80;2,81;2,84;2,87;2,88;2,98;2,97;2,97;2,87;2,86;2,92;2,88;2,95;2,88;2,85
weiblich;96 Jahre;-;-;-;-;-;-;-;-;-;2,66;2,62;2,61;2,63;2,66;2,70;2,72;2,79;2,78;2,78;2,67;2,65;2,69;2,68;2,76;2,71;2,64
weiblich;97 Jahre;-;-;-;-;-;-;-;-;-;2,49;2,46;2,45;2,46;2,48;2,52;2,54;2,61;2,60;2,60;2,50;2,48;2,50;2,45;2,59;2,54;2,50
weiblich;98 Jahre;-;-;-;-;-;-;-;-;-;2,34;2,30;2,30;2,31;2,33;2,36;2,38;2,44;2,43;2,43;2,33;2,33;2,35;2,25;2,40;2,40;2,35
weiblich;99 Jahre;-;-;-;-;-;-;-;-;-;2,19;2,17;2,16;2,17;2,18;2,21;2,23;2,29;2,28;2,28;2,19;2,20;2,21;2,09;2,23;2,24;2,20
weiblich;100 Jahre;-;-;-;-;-;-;-;-;-;2,06;2,04;2,03;2,04;2,05;2,08;2,10;2,15;2,15;2,14;2,06;2,07;2,09;1,95;2,08;2,11;2,06
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 17:14:32
